Subcategory,Tag Name,Notes
Location,NYC,
Location,SF,
Location,Boston,
Location,Chicago,tag already exits in Google Contacts
Location,London,tag already exits in Google Contacts
Location,PL,tag already exits in Google Contacts
Location,Georgia,tag already exits in Google Contacts
Location,Moscow,tag already exits in Google Contacts
Location,DC,tag already exits in Google Contacts
Location,Bialystok,tag already exits in Google Contacts
Classmates,Georgetown ,tag already exits in Google Contacts
Education,Goodenough,tag already exits in Google Contacts
Education,Hentz,tag already exits in Google Contacts
Education,LFC,tag already exits in Google Contacts
Education,LSE,tag already exits in Google Contacts
Education,Maine East,tag already exits in Google Contacts
Holidays,Xmas - Holidays,tag already exits in Google Contacts
Holidays,Xmas ENG,tag already exits in Google Contacts
Holidays,Xmas PL,tag already exits in Google Contacts
Holidays,Happy Easter,tag already exits in Google Contacts
Holidays,Hanukah,tag already exits in Google Contacts
Personal,Admin,tag already exists in Google Contacts
Personal,Matt,tag already exists in Google Contacts
Personal,Personal,tag already exists in Google Contacts
Personal,Art,tag already exists in Google Contacts
Personal,Karski,tag already exists in Google Contacts
Social,Nudists,tag already exists in Google Contacts
Social,X-Guys,tag already exists in Google Contacts
Professional,Entrepreneur | Founder,already have this tag
Professional,C-Suite,"CEO, CFO, etc."
Professional,Partner,
Professional,Managing Director,
Professional,VP/Director,
Professional,Advisor,
Professional,Lawyer,we already have a tag: Resource: Lawyer
Professional,Banker,already have tag: Bakers (44 people) & Banker | Consultant (9 people)
Professional,Accountant/CPA,
Professional,Recruiter/Headhunter,already have two tags: Headhunters (11 people) & Headhunter/Recruiter (48 people)
Professional,Journalist/Media,
Professional,Academic/Professor,
Professional,Government/Regulator,
Professional,Medical Contacts,already exists in Google Contacts
Professional,Actuary,current tag: Resource: Actuary; imported from Airtable
Professional,Creative ,already exists in our database; imported from Airtable
Professional,Referrals | Introductions,already exists in our database; imported from Airtable
Professional,Tech,current tag: Resource: Tech; imported from Airtable
Professional,StartOut,already exits
Professional,Operations,current tag: Resource: Operations; imported from Airtable
Former Colleagues,Credit Suisse,already exists in Google Contacts
Former Colleagues,GAFG,already exists in Google Contacts
Former Colleagues,Lehman,already exists in Google Contacts
Former Colleagues,Salute,already exists in Google Contacts
Former Colleagues,State Department,already exists in Google Contacts
Investor Type,VC - Early Stage,Already have a tag: Venture VC; imported from Airtable
Investor Type,VC - Growth,Already have a tag: Venture VC; imported from Airtable
Investor Type,PE - Buyout,Already have a tag: PE / Institutional; imported from Airtable 
Investor Type,PE - Growth Equity,Already have a tag: PE / Institutional; imported from Airtable 
Investor Type,Angel Investor,Already have a tag: Angel (154 people); imported from Airtable
Investor Type,Family Office,
Investor Type,Hedge Fund - Long/Short,Already have a tag: Hedge Fund
Investor Type,Hedge Fund - Market Neutral,
Investor Type,Hedge Fund - Risk Arb,
Investor Type,Hedge Fund - Distressed,
Investor Type,Hedge Fund - Activist,
Investor Type,Hedge Fund - Macro,
Investor Type,Hedge Fund - Relative Value,
Investor Type,Hedge Fund - Credit,
Investor Type,Hedge Fund - Quant/HFT,
Investor Type,Private Credit,
Investor Type,LP,
Investor Type,Corporate VC,
Investor Type,Sovereign Wealth,
Relationship Origin,Family,"Blood relatives, in-laws"
Relationship Origin,Friend,Personal friends
Relationship Origin,Classmate,School/university connections
Relationship Origin,Former Colleague,Past work relationships
Relationship Origin,Referral,Introduced by someone else
Relationship Origin,Conference/Event,Met at professional event
Relationship Origin,Cold Outreach,Connected via cold email/LinkedIn
Relationship Origin,Board Connection,Met through board service
Relationship Origin,Deal Connection,Met through a transaction
Relationship Origin,Social Apps,
